campus_nam,stu_city,stu_lat,stu_long,stu_servic,stu_online
Islamabad,Bhimber,33.12490350000,73.87866010000,Zong,Zoom
Islamabad,Attock,33.76596840000,72.36087540000,PTCL,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,31.43974150000,73.10777210000,Jazz,Microsoft Teams
Karachi,Sukkur,27.84582500000,69.10415150000,Zong,Zoom
Islamabad,Chowk Azam,30.96470250000,71.20426190000,Zong,Zoom
Chiniot_Faisalabad,Lahore,31.46388270000,74.29464299000,Jazz,Zoom
Karachi,Karachi,3352330309.00000000000,0.00000000000,Ufone,Google Meet
Peshawar,pind dadan khan,32.58837080000,73.04347940000,Zong,Google Meet
Karachi,Karachi,25.10719030000,67.23711700000,Zong,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,31.44566390000,73.08221570000,Zong,Microsoft Teams
Chiniot_Faisalabad,"Sharaqpur,district sheikh pura",31.51493180000,74.09582960000,Zong,Zoom
Karachi,Karachi,24.96570890000,67.04838480000,Ufone,"Zoom and Google Meet, both"
Chiniot_Faisalabad,Multan,30.16283794000,71.40348610000,Zong,Microsoft Teams
Peshawar,Peshawar,33.96772560000,71.44477850000,Zong,Google Meet
Karachi,Karachi,3452884245.00000000000,0.00000000000,Telenor,Zoom
Islamabad,Islamabad/Rawalpindi,33.66274843000,73.07927477000,Ufone,Google Meet
Chiniot_Faisalabad,Chiniot/Faisalabad,31.72916620000,72.98219540000,Telenor,Zoom
Peshawar,swat,3130996881.00000000000,0.00000000000,Telenor,Google Meet
Islamabad,Kahuta,33.58961380000,73.38855260000,Zong,Google Meet
Karachi,Karachi,24.80043170000,67.05796730000,Ufone,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,31.50268830000,73.21460780000,Zong,Microsoft Teams
Karachi,Karachi,24.89373340000,67.21626190000,Zong,Zoom
Chiniot_Faisalabad,Narowal,32.10140670000,74.87995180000,Telenor,Microsoft Teams
Karachi,Karachi,24.95708980000,67.06780650000,Ufone,Zoom
Karachi,Karachi,24.88025630000,67.18054100000,ufone,Zoom
Karachi,sukkur,27.72435630000,68.82280820000,Ufone,Google Meet
Peshawar,Lahore,31.53239372000,74.30963496000,Telenor,Google Meet
Islamabad,Islamabad/Rawalpindi,33.72604180000,72.83086920000,Telenor,Zoom
Karachi,Karachi,24.84988356000,66.99537831000,Zong,Zoom
Islamabad,Khewra,3099661704.00000000000,0.00000000000,PTCL,Zoom
Karachi,Karachi,24.86481780000,67.02940670000,Zong,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,31.43510870000,73.12979720000,Jazz,Microsoft Teams
Chiniot_Faisalabad,Gojra,31.15046880000,72.68115070000,Jazz,Zoom
Islamabad,Jhang,31.27806830000,72.33167610000,Telenor,Google Meet
Karachi,Karachi,24.93674410000,67.05301650000,Ufone,Google Meet
Chiniot_Faisalabad,Chiniot/Faisalabad,31.42972140000,73.08479790000,Ufone,Zoom
Islamabad,Sargodha,32.07397870000,72.68606960000,Jazz,Zoom
Islamabad,Islamabad/Rawalpindi,33.67216545000,73.00278025000,Jazz,"zoom,meet,discord"
Karachi,Hyderabad,25.39148940000,68.36603160000,Jazz,Google Meet
Karachi,Hub,25.17655790000,66.97497310000,Zong,Zoom
Chiniot_Faisalabad,Lahore,31.55454650000,74.32451770000,Jazz,Microsoft Teams
Karachi,Tandoallahyar,3069190317.00000000000,0.00000000000,Jazz,Zoom
Karachi,Mirpurkhas,3332852517.00000000000,0.00000000000,Ufone,Google Meet
Karachi,Perumal,25.88225320000,69.12638390000,Zong,Zoom
Islamabad,Islamabad/Rawalpindi,33.53683550000,73.16446280000,No I don't,Zoom
Chiniot_Faisalabad,Multan,30.20431920000,71.45034595000,Telenor,Microsoft Teams
